Nombre,Activo,Código,Eslora,Flota,Matrícula,Potencia en HP,Tipo de flota
VALENTINO,Yes,0,0,"FRESQUERO, RADA O RIA",02839,0,11
PACU II,Yes,2183,"10,95","FRESQUERO, RADA O RIA",02612,259,11
MADRE SELVA I,Yes,1917,"12,95","FRESQUERO, RADA O RIA",02597,324,11
MIS AMORES I,Yes,0,0,"FRESQUERO, RADA O RIA",02570M,0,11
ETERNO JORGE PADRE I,Yes,0,0,"FRESQUERO, RADA O RIA",02715,0,11
FRANCY,Yes,1617,"13,6","FRESQUERO, RADA O RIA",2021,0,11
ATLANTICO I,Yes,0,0,"FRESQUERO, RADA O RIA",02541M,0,11
MELLINO II,Yes,0,"38,91","ALTURA, FRESQUERO",5099,"794,6",31
YAEL,Yes,0,0,"FRESQUERO, RADA O RIA",02861,0,11
7 DE AGOSTO,Yes,1012,"9,9","FRESQUERO, RADA O RIA",01641M,200,11
VIRGEN DE ITATI,Yes,0,"9,88","FRESQUERO, RADA O RIA",02621,200,11
DIEGO AGUSTIN,Yes,0,0,"FRESQUERO, RADA O RIA",02841,0,11
ENZO I,Yes,0,"9,86","FRESQUERO, RADA O RIA",02653M,0,11
DON DANIEL,Yes,0,0,"FRESQUERO, RADA O RIA",03043,0,11
EL PADRINO,Yes,0,0,"FRESQUERO, RADA O RIA",01082M,0,11
ROCIO G,Yes,0,"9,98","FRESQUERO, RADA O RIA",0587,140,11
JORGE DANIEL,Yes,0,"9,86","FRESQUERO, RADA O RIA",02592,"311,4",11
ENRICO I,Yes,0,0,"ALTURA, FRESQUERO",03091,0,31
BETTY I,Yes,0,0,"FRESQUERO, RADA O RIA",03021,0,11
ARGENOVA XIV,Yes,1149,"52,3","ALTURA, PROC.CONGELADOR",6010,"1351,7",32
PROMARSA III,Yes,0,"35,84","ALTURA, PROC.CONGELADOR",02096,"1061,7",32
MALVINAS ARGENTINAS,Yes,1931,"28,4","ALTURA, FRESQUERO",5704,"457,7",31
BUENA PESCA,Yes,2717,"39,1","ALTURA, PROC.CONGELADOR",01475,"1479,2",32
LI EM,Yes,0,0,"FRESQUERO, RADA O RIA",02760,0,11
ATLANTICO 1,Yes,0,"39,95","ALTURA, PROC.CONGELADOR",03162,0,32
API VI,Yes,2734,"36,35","ALTURA, PROC.CONGELADOR",02812,"1201,3",32
BAHIA DESVELOS,Yes,1194,"37,05","ALTURA, PROC.CONGELADOR",6162,"790,6",32
MAR MARÍA,Yes,2738,"37,8","ALTURA, PROC.CONGELADOR",02960,"1248,3",32
ARGENOVA II,Yes,1138,"38,5","ALTURA, PROC.CONGELADOR",02177,"1167,8",32
ARGENOVA VI,Yes,1143,35,"ALTURA, PROC.CONGELADOR",02179,655,32
GLADIADOR,Yes,1649,"12,95","FRESQUERO, RADA O RIA",589,140,11
OTRO SOL,Yes,2177,"13,45","FRESQUERO, RADA O RIA",01106M,0,11
MARIA CANDIDA,Yes,0,0,"FRESQUERO, RADA O RIA",02658M,0,11
STEFI,Yes,2501,"6,7","COSTEROS, FRESQUERO",1897,70,21
COCODRILO I,Yes,0,0,"FRESQUERO, RADA O RIA",02545M,0,11
SIEMPRE CORMORAN,Yes,0,0,"FRESQUERO, RADA O RIA",03147M,0,11
PUENTE CHICO,Yes,2263,37,"ALTURA, PROC.CONGELADOR",6528,"1174,5",32
SAN ANDRES APOSTOL,Yes,2340,"54,56","ALTURA, FRESQUERO",5900,"2268,5",31
CHIYO MARU Nº 3,Yes,2745,"52,8","ALTURA, PROC.CONGELADOR",02987,"936,9",32
LEAL,Yes,1863,"27,45","ALTURA, FRESQUERO",5914,"601,3",31
PUENTE SAN JORGE,Yes,2265,"35,3","ALTURA, PROC.CONGELADOR",6095,"1001,3",32
TUYU PESCA I,Yes,2578,16,"FRESQUERO, RADA O RIA",2411,0,11
TUYUPESCA II,Yes,0,0,"FRESQUERO, RADA O RIA",0772M,0,11
XEITOSIÑO,Yes,2668,"51,72","ALTURA, PROC.CONGELADOR",6307,1502,32
UCHI,Yes,2580,"54,23","ALTURA, PROC.CONGELADOR",5149,"1551,7",32
CABO TRES PUNTAS,Yes,1242,"31,43","ALTURA, FRESQUERO",6031,"720,8",31
SAN ANTONIO.,Yes,2344,"13,65","FRESQUERO, RADA O RIA",4454,"210,7",11
BENJAMIN,Yes,0,0,"FRESQUERO, RADA O RIA",02838M,0,11
LA CRISTINA,Yes,1799,"6,7","FRESQUERO, RADA O RIA",1534-M,60,11
DAMARIS,Yes,1383,"6,7","FRESQUERO, RADA O RIA",1965,0,11
STELLA MARYS,Yes,0,0,NO IDENTIFICADO,03099M,0,99
LA GAVIOTA,Yes,1812,"6,28","FRESQUERO, RADA O RIA",01682-M,60,11
DON REINALDO,Yes,0,0,"FRESQUERO, RADA O RIA",02226M,0,11
EL AUDAZ,Yes,0,0,"FRESQUERO, RADA O RIA",02533-M,0,11
DAMIAN,Yes,1384,7,"COSTEROS, FRESQUERO",1956,0,21
RAPTOR,Yes,2282,"6,7","FRESQUERO, RADA O RIA",01507-M,40,11
PUNTA MOGOTES,Yes,2272,"20,2","COSTEROS, FRESQUERO",4975,"386,6",21
SIEMPRE SANTA ROSA,Yes,2476,"27,8","ALTURA, FRESQUERO",5879,"547,7",31
MESSINA I,Yes,2038,"27,29","ALTURA, FRESQUERO",5899,"649,7",31
RAFA I,Yes,0,0,"FRESQUERO, RADA O RIA",02404M,0,11
NO TE APICHONES,Yes,2099,"8,2","FRESQUERO, RADA O RIA",01709,130,11
LA PAULINA II,Yes,0,0,"FRESQUERO, RADA O RIA",03059,0,11
THE BROTHER,Yes,0,0,"FRESQUERO, RADA O RIA",02445M,0,11
LA ATREVIDA,Yes,1793,"5,95","COSTEROS, FRESQUERO",1879-M,70,21
LA BRUJA,Yes,1796,"6,38","COSTEROS, FRESQUERO",1840-M,60,21
PAJARO,Yes,0,0,"FRESQUERO, RADA O RIA",01973M,0,11
DON JUAN,Yes,1437,27,"COSTEROS, FRESQUERO",18375,425,21
TOBI I,Yes,0,0,"FRESQUERO, RADA O RIA",02636M,0,11
MARINA I,Yes,2012,"7,8","FRESQUERO, RADA O RIA",01898M,130,11
DON LOPEZ,Yes,1442,"6,38","FRESQUERO, RADA O RIA",01770M,0,11
AGUSTIN.,Yes,1022,0,"FRESQUERO, RADA O RIA",01964M,0,11
MI LUCHA,Yes,2039,"14,1","FRESQUERO, RADA O RIA",4588,200,11
