BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
2711;API V;32;ALTURA,PROC.CONGELADOR;77,40;2959,7;02781
2489;SIRIUS II;31;ALTURA, FRESQUERO;59,25;1288,6;5355
2763;MARIA GLORIA;31;ALTURA, FRESQUERO;28,05;851,0;02738
2280;RAFFAELA;31;ALTURA, FRESQUERO;26,50;624,2;6224
1656;GRAN CAPITAN;31;ALTURA, FRESQUERO;25,43;540,9;5301
1865;LEKHAN I;21;COSTEROS, FRESQUERO;18,45;530,2;6237
2243;PONTE DE RANDE;32;ALTURA,PROC.CONGELADOR;79,14;2963,8;6483
1735;ITXAS LUR;32;ALTURA,PROC.CONGELADOR;63,30;1951,7;6459
1610;FONSECA;32;ALTURA,PROC.CONGELADOR;62,40;2002,7;6567
2703;PUENTE MAYOR;32;ALTURA,PROC.CONGELADOR;66,86;2416,1;02630
1333;COALSA SEGUNDO;32;ALTURA,PROC.CONGELADOR;76,20;2959,7;6211
2074;NATALE;31;ALTURA, FRESQUERO;19,54;330,2;5151
2470;SIEMPRE MARIA MADRE;11;RADA O RIA, FRESQUERO;13,94;128,9;3936
1606;FLORIDABLANCA;31;ALTURA, FRESQUERO;27,67;540,9;5936
0;PANCOCHULO;11;RADA O RIA, FRESQUERO;0,00;0,0;02718M
0;EL CILINDRO;11;RADA O RIA, FRESQUERO;0,00;0,0;03008M
0;LA UNION;21;COSTEROS, FRESQUERO;0,00;0,0;1688-M
1422;DON DOMINGO;11;RADA O RIA, FRESQUERO;18,20;281,9;6076
1458;DON PEDRO.;32;ALTURA,PROC.CONGELADOR;73,60;2369,1;6205
2504;STELLA MARIS I.;32;ALTURA,PROC.CONGELADOR;68,20;1946,3;6576
2709;TANGO I;32;ALTURA,PROC.CONGELADOR;50,40;1302,0;02724
1612;FRANCA;31;ALTURA, FRESQUERO;27,29;492,6;5926
0;CHATKA I;21;COSTEROS, FRESQUERO;16,73;194,6;02893
1163;ARPLATA II;11;RADA O RIA, FRESQUERO;13,33;0,0;0632
